botName,type,description,symbol,status,quantity,daysInTrade,openPrice,closePrice,premium,pnl,ror,returnPct,risk,ev,alpha,highReturnPct,lowReturnPct,highReturnPctDate,lowReturnPctDate,expiration,openDate,closeDate,tags,underlyingOpen,underlyingClose
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,385 put, -7,450 put, -7,450 call, +7,490 call","SPX","closed",1,0,25.9,24.55,-2590,135,0.034527,0.052124,3910,"779.601182","0.198979","0.2011583","-0.27683398","2026-06-12 15:06:00","2026-06-12 14:18:00","2026-06-12 16:00:00","2026-06-12 13:25:05","2026-06-12 15:15:00","position",7436.66,7426.81
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,310 put, -7,400 put, -7,400 call, +7,475 call","SPX","closed",1,0,41.2,28.8,-4120,1240,0.254098,0.300971,4880,"2365.150742","0.483869","0.30169903","-0.05145631","2026-06-12 14:07:00","2026-06-12 12:16:00","2026-06-12 16:00:00","2026-06-12 12:05:04","2026-06-12 14:07:00","position",7400.98,7420.14
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,350 put, -7,450 put, -7,450 call, +7,515 call","SPX","closed",1,0,40.45,28.3,-4045,1215,0.20403,0.300371,5955,"2046.955845","0.34368","0.30111248","-0.35648949","2026-06-12 13:21:00","2026-06-12 12:06:00","2026-06-12 16:00:00","2026-06-12 11:15:02","2026-06-12 13:21:00","position",7443.44,7439.05
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,570 put, -7,600 put, -7,600 call, +7,605 call","SPX","closed",1,0,12.3,8.35,-1230,395,0.223164,0.321138,1770,"-25.37677","-0.014313","0.32195122","0.00081301","2026-06-04 14:27:00","2026-06-04 13:55:01","2026-06-04 16:00:00","2026-06-04 13:55:01","2026-06-04 14:27:00","position",7588.72,7595
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,560 put, -7,600 put, -7,600 call, +7,605 call","SPX","closed",1,0,18.2,12.5,-1820,570,0.261468,0.313187,2180,"-48.15268","-0.022058","0.31373626","-0.03681319","2026-06-04 13:50:00","2026-06-04 13:06:00","2026-06-04 16:00:00","2026-06-04 13:05:01","2026-06-04 13:50:00","position",7581.88,7589.11
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,580 put, -7,620 put, -7,620 call, +7,645 call","SPX","closed",1,0,14.3,11.95,-1430,235,0.09144,0.164336,2570,"22.695075","0.008827","0.26643357","-0.15524476","2026-06-02 13:06:00","2026-06-02 14:40:00","2026-06-02 16:00:00","2026-06-02 11:25:01","2026-06-02 15:15:01","position",7618.7,7608.51
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,560 put, -7,590 put, -7,590 call, +7,610 call","SPX","closed",1,0,11.6,17.45,-1160,-585,-0.317935,-0.50431,1840,"-49.773132","-0.027007","0.17758621","-0.50172414","2026-06-01 13:29:00","2026-06-01 13:55:00","2026-06-01 16:00:00","2026-06-01 12:35:01","2026-06-01 13:55:00","position",7588.39,7616.72
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,580 put, -7,600 put, -7,600 call, +7,620 call","SPX","closed",1,0,9.25,14.1,-925,-485,-0.451163,-0.524324,1075,"-15.225099","-0.014084","-0.00432432","-0.52108108","2026-06-01 13:40:05","2026-06-01 13:48:00","2026-06-01 16:00:00","2026-06-01 13:40:05","2026-06-01 13:48:00","position",7601.17,7615.48
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,540 put, -7,590 put, -7,590 call, +7,610 call","SPX","closed",1,0,19.2,12.5,-1920,670,0.217532,0.348958,3080,"61.200925","0.01987","0.35052083","-0.0671875","2026-06-01 12:33:00","2026-06-01 11:12:00","2026-06-01 16:00:00","2026-06-01 11:10:00","2026-06-01 12:33:00","position",7576.56,7588.19
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,550 put, -7,600 put, -7,600 call, +7,615 call","SPX","closed",1,0,18.9,28.45,-1890,-955,-0.307074,-0.505291,3110,"150.14817","0.048264","0.20687831","-0.50529101","2026-05-29 12:41:00","2026-05-29 14:00:00","2026-05-29 16:00:00","2026-05-29 12:20:00","2026-05-29 14:00:00","position",7585.47,7569.92
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,530 put, -7,600 put, -7,600 call, +7,620 call","SPX","closed",1,0,25.65,17.95,-2565,770,0.173619,0.300195,4435,"371.50903","0.083749","0.3005848","-0.0545809","2026-05-29 12:11:00","2026-05-29 11:06:00","2026-05-29 16:00:00","2026-05-29 11:05:01","2026-05-29 12:11:01","position",7580.77,7591.13
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,545 put, -7,570 put, -7,570 call, +7,580 call","SPX","closed",1,0,8.55,10.25,-855,-170,-0.103343,-0.19883,1645,"-251.804551","-0.15298","0.11812865","-0.32046784","2026-05-28 14:26:00","2026-05-28 15:01:00","2026-05-28 16:00:00","2026-05-28 14:00:02","2026-05-28 15:15:01","position",7564.25,7559.54
